id,teamId,firstName,lastName,marketValue,averagePoints,games,gamesPlayed,start11,totalPlaytimeS,totalPoints,status,position,playerImage,number,trend,pointsPerValue,pointsStdDev,history,startProbability,name,marketChangeToday,score
237,2,Manuel,Neuer,12761537.0,95.0,22.0,22.0,22.0,124205.0,2083.0,0,1,https://kickbase.b-cdn.net/content/file/aadd45c3d6354126886481e0a33a3c1f.png,1.0,1,163.0,,"[{""hasPlayed"": true, ""points"": 45}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}]",2,Manuel Neuer,70077.0,16.674732
2395,3,Julian,Ryerson,25577034.0,105.0,31.0,31.0,26.0,148097.0,3246.0,0,2,https://kickbase.b-cdn.net/content/file/5c70c2a110fd48919c487e0b0d97af57.png,26.0,2,126.0,,"[{""hasPlayed"": true, ""points"": 141}, {""hasPlayed"": true, ""points"": 127}, {""hasPlayed"": true, ""points"": 41}, {""hasPlayed"": true, ""points"": 171}, {""hasPlayed"": true, ""points"": 3}]",1,Julian Ryerson,15327.0,19.050703
3543,2,Nathaniel,Brown,28700467.0,83.0,33.0,33.0,29.0,176484.0,2726.0,0,2,https://kickbase.b-cdn.net/content/file/a6bbeb9411db465cb0b0b5dac3fd61a4.png,0.0,1,94.0,,"[{""hasPlayed"": true, ""points"": 70}, {""hasPlayed"": true, ""points"": 26}, {""hasPlayed"": true, ""points"": 38}, {""hasPlayed"": true, ""points"": 166}, {""hasPlayed"": true, ""points"": 31}]",3,Nathaniel Brown,81734.0,16.674732
2141,43,Ridle ,Baku,18890750.0,102.0,32.0,32.0,28.0,162435.0,3278.0,0,2,https://kickbase.b-cdn.net/content/file/dea132bbe8444490a8b8fa7d725f4b64.png,17.0,2,173.0,,"[{""hasPlayed"": true, ""points"": -4}, {""hasPlayed"": true, ""points"": 95}, {""hasPlayed"": true, ""points"": 38}, {""hasPlayed"": true, ""points"": 224}, {""hasPlayed"": true, ""points"": 124}]",3,Ridle  Baku,-254725.0,13.962002
16378,3,Konstantinos,Karetsas,21829859.0,,,,,,,0,3,https://kickbase.b-cdn.net/content/file/2607076d85724a188e9db75bd12b7889.png,0.0,1,,,"[{""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}]",1,Konstantinos Karetsas,292746.0,17.874734
6080,2,Aleksandar,Pavlović,31779334.0,119.0,24.0,24.0,16.0,98316.0,2844.0,0,3,https://kickbase.b-cdn.net/content/file/edb0e886b6a545f1b564cd3d24c6e4b3.png,45.0,1,89.0,,"[{""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": true, ""points"": 43}, {""hasPlayed"": true, ""points"": 68}, {""hasPlayed"": false, ""points"": null}]",1,Aleksandar Pavlović,93308.0,16.912942
11099,3,Jobe,Bellingham,19425973.0,68.0,32.0,32.0,20.0,119220.0,2172.0,0,3,https://kickbase.b-cdn.net/content/file/7b67f5aec4444746b2848e6d9a775210.png,7.0,1,111.0,,"[{""hasPlayed"": true, ""points"": 108}, {""hasPlayed"": true, ""points"": 80}, {""hasPlayed"": true, ""points"": 43}, {""hasPlayed"": true, ""points"": 124}, {""hasPlayed"": true, ""points"": 37}]",3,Jobe Bellingham,108490.0,16.416532
6061,7,Ibrahim,Maza,29315691.0,98.0,28.0,28.0,20.0,121679.0,2743.0,0,3,https://kickbase.b-cdn.net/content/file/7ff9728d20544b96a1fe698af86f9f2f.png,30.0,1,93.0,,"[{""hasPlayed"": true, ""points"": 85}, {""hasPlayed"": true, ""points"": 34}, {""hasPlayed"": true, ""points"": 182}, {""hasPlayed"": true, ""points"": 40}, {""hasPlayed"": true, ""points"": 79}]",1,Ibrahim Maza,83976.0,14.694554
4596,43,Brajan,Gruda,17494203.0,98.0,13.0,13.0,8.0,49007.0,1270.0,0,3,https://kickbase.b-cdn.net/content/file/f1dd66425b59403ab0f2796e4ad0b0f8.png,10.0,1,72.0,,"[{""hasPlayed"": true, ""points"": 28}, {""hasPlayed"": true, ""points"": 68}, {""hasPlayed"": true, ""points"": 89}, {""hasPlayed"": true, ""points"": 24}, {""hasPlayed"": true, ""points"": 48}]",1,Brajan Gruda,251568.0,14.582536
6176,43,Nicolas,Seiwald,16473117.0,86.0,33.0,33.0,31.0,174575.0,2839.0,0,3,https://kickbase.b-cdn.net/content/file/49894e11778042f09b92bdbd82994680.png,13.0,1,172.0,,"[{""hasPlayed"": true, ""points"": 44}, {""hasPlayed"": true, ""points"": 20}, {""hasPlayed"": true, ""points"": 60}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": true, ""points"": 115}]",1,Nicolas Seiwald,180701.0,14.168847
15199,7,Afonso,Moreira,22425951.0,,,,,,,0,4,https://kickbase.b-cdn.net/content/file/91b4b5c394a1464f98589ffa59af5aec.png,0.0,1,,,"[{""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}]",1,Afonso Moreira,237665.0,13.061826
