id,teamId,firstName,lastName,marketValue,averagePoints,games,gamesPlayed,start11,totalPlaytimeS,totalPoints,status,position,playerImage,number,trend,pointsPerValue,pointsStdDev,history,startProbability,name,marketChangeToday,marketChange.today,marketChange.yesterday,marketChange.twoDays,marketChange.sevenDaysAvg,marketChange.thirtyDaysAvg,sofascore_average_rating,expected_match_points,ligainsider_starting_chance,kickbase_starting_chance,kicker_starting_chance,rotowire_starting_chance,questionable_injury_penalty,starting_chance,score_multiplier,score
3019,4,Noah,Atubolu,12346370.0,130.0,1.0,1.0,1.0,6161.0,130.0,0,1,https://kickbase.b-cdn.net/content/file/1a428dbd61524b48bb209d1ebee4ac6d.png,1.0,1,10.0,,"[{""hasPlayed"": true, ""points"": 130}]",1,Noah Atubolu,252291.0,252291.0,273276.0,279205.0,1775095.0,1335461.0,7.9,1.7284387594182584,1.0,0.0,1.0,1.0,0.0,1.0,9.4739,129.362942
1991,2,Dayot,Upamecano,33398087.0,272.0,1.0,1.0,1.0,5767.0,272.0,0,2,https://kickbase.b-cdn.net/content/file/13835e113e4f40d986f924b517690435.png,2.0,1,8.0,,"[{""hasPlayed"": true, ""points"": 272}]",2,Dayot Upamecano,34235.0,34235.0,35892.0,50670.0,108246.0,659825.0,7.9,2.6086956521739126,1.0,0.0,1.0,1.0,0.0,1.0,9.4739,195.244722
10115,3,Daniel,Svensson,18060603.0,163.0,1.0,1.0,1.0,5806.0,163.0,0,2,https://kickbase.b-cdn.net/content/file/da063055c5d14c798dd8d7427fb2a48f.png,24.0,1,9.0,,"[{""hasPlayed"": true, ""points"": 163}]",1,Daniel Svensson,218422.0,218422.0,234522.0,253930.0,1400237.0,-1426466.0,7.44,1.5169572715079516,1.0,0.0,1.0,1.0,0.0,1.0,9.4739,106.923971
1540,18,Danny,Da Costa,10629521.0,143.0,1.0,1.0,1.0,5731.0,143.0,0,2,https://kickbase.b-cdn.net/content/file/d7479cd684eb4636932e2e5651e92411.png,21.0,1,13.0,,"[{""hasPlayed"": true, ""points"": 143}]",1,Danny Da Costa,190328.0,190328.0,216028.0,354525.0,1444535.0,3521854.0,7.85,1.4005563282336577,1.0,0.0,1.0,1.0,0.0,1.0,9.4739,104.159535
7283,13,Calvin,Brackelmann,6146301.0,146.0,1.0,1.0,1.0,5455.0,146.0,0,2,https://kickbase.b-cdn.net/content/file/e13f320cbaad4bad96143f969d2cf434.png,2.0,1,23.0,,"[{""hasPlayed"": true, ""points"": 146}]",3,Calvin Brackelmann,229497.0,229497.0,269274.0,303022.0,1973063.0,-2340948.0,7.7,1.0213071666374627,1.0,0.0,1.0,0.85,0.15,0.9785714285714285,9.4739,72.906866
11956,7,Ezequiél,Fernández,10727689.0,39.0,1.0,1.0,1.0,3394.0,39.0,0,3,https://kickbase.b-cdn.net/content/file/2c37f7daf46f4c9693ffa9ef33ff980b.png,6.0,1,3.0,,"[{""hasPlayed"": true, ""points"": 39}]",3,Ezequiél Fernández,100951.0,100951.0,173044.0,204610.0,1782588.0,6968584.0,6.63,2.2116504854368935,1.0,0.0,1.0,1.0,0.0,1.0,9.4739,138.918095
13442,15,Hugo,Bolin,11456465.0,32.0,1.0,1.0,1.0,5846.0,32.0,0,3,https://kickbase.b-cdn.net/content/file/7f789e6ac2c84d5b878ec36c44b31dc2.png,38.0,1,2.0,,"[{""hasPlayed"": true, ""points"": 32}]",1,Hugo Bolin,98529.0,98529.0,111044.0,128909.0,818070.0,6172557.0,8.05,1.7648105684657243,1.0,0.0,1.0,1.0,0.0,1.0,9.4739,134.593093
11008,43,Ezechiel,Banzuzi,11245732.0,103.0,1.0,1.0,1.0,5074.0,103.0,0,3,https://kickbase.b-cdn.net/content/file/a9c36464a61049d0b9acd73d6c4e9c96.png,6.0,1,9.0,,"[{""hasPlayed"": true, ""points"": 103}]",1,Ezechiel Banzuzi,191689.0,191689.0,210865.0,248273.0,1859135.0,7613135.0,7.2,1.8636721828211191,1.0,0.0,1.0,1.0,0.0,1.0,9.4739,127.124956
3209,5,Yannik,Engelhardt,11640454.0,71.0,1.0,1.0,1.0,5706.0,71.0,0,3,https://kickbase.b-cdn.net/content/file/026c80a428ef428ba28a09167853739e.png,16.0,1,6.0,,"[{""hasPlayed"": true, ""points"": 71}]",1,Yannik Engelhardt,117912.0,117912.0,131908.0,144198.0,646039.0,5177382.0,6.95,1.705678495361178,1.0,0.0,1.0,1.0,0.0,1.0,9.4739,112.308021
9605,6,Albert,Grønbæk,13039678.0,30.0,1.0,1.0,1.0,5806.0,30.0,0,3,https://kickbase.b-cdn.net/content/file/02b24cefd3da410ca1d4639a2fb7ccac.png,11.0,1,2.0,,"[{""hasPlayed"": true, ""points"": 30}]",1,Albert Grønbæk,106797.0,106797.0,121124.0,152238.0,887271.0,3518615.0,8.15,1.3361812040532484,1.0,0.0,1.0,1.0,0.0,1.0,9.4739,103.169604
4296,9,Dzenan,Pejcinovic,10929287.0,-6.0,1.0,1.0,1.0,3790.0,-6.0,0,4,https://kickbase.b-cdn.net/content/file/dce6b383ea96472faf6e2059c30593a9.png,17.0,1,,4.0,"[{""hasPlayed"": true, ""points"": -6}]",3,Dzenan Pejcinovic,184353.0,184353.0,209826.0,228561.0,2227748.0,8050225.0,7.85,2.156408094435076,1.0,0.0,1.0,1.0,0.0,1.0,9.4739,160.372318
