id,teamId,firstName,lastName,marketValue,averagePoints,games,gamesPlayed,start11,totalPlaytimeS,totalPoints,status,position,playerImage,number,trend,pointsPerValue,pointsStdDev,history,startProbability,name,marketChangeToday,marketChange.today,marketChange.yesterday,marketChange.twoDays,marketChange.sevenDaysAvg,marketChange.thirtyDaysAvg,sofascore_average_rating,expected_match_points,ligainsider_starting_chance,kickbase_starting_chance,kicker_starting_chance,rotowire_starting_chance,questionable_injury_penalty,starting_chance,score_multiplier,score
2237,9,Fabian,Bredlow,12223174.0,111.0,1.0,1.0,1.0,5767.0,111.0,0,1,https://kickbase.b-cdn.net/content/file/9c66b1c555ae45aea1e62e700f53f3e9.png,1.0,1,9.0,,"[{""hasPlayed"": true, ""points"": 111}]",1,Fabian Bredlow,111820.0,111820.0,146961.0,178756.0,1003846.0,7255992.0,8.45,2.156408094435076,1.0,0.0,1.0,1.0,0.0,1.0,9.4739,172.630075
1991,2,Dayot,Upamecano,33398087.0,272.0,1.0,1.0,1.0,5767.0,272.0,0,2,https://kickbase.b-cdn.net/content/file/13835e113e4f40d986f924b517690435.png,2.0,1,8.0,,"[{""hasPlayed"": true, ""points"": 272}]",2,Dayot Upamecano,34235.0,34235.0,35892.0,50670.0,108246.0,659825.0,7.9,2.6086956521739126,1.0,0.0,1.0,1.0,0.0,1.0,9.4739,195.244722
3759,7,Miguel,Gutiérrez,22040694.0,117.0,1.0,1.0,1.0,5894.0,117.0,0,2,https://kickbase.b-cdn.net/content/file/e1b364b32dcc44539649cf1c88d0eba9.png,3.0,1,5.0,,"[{""hasPlayed"": true, ""points"": 117}]",1,Miguel Gutiérrez,93827.0,93827.0,124602.0,152999.0,885108.0,22040694.0,6.77,2.2116504854368935,1.0,0.0,1.0,1.0,0.0,1.0,9.4739,141.851509
2141,43,Ridle ,Baku,19653208.0,233.0,1.0,1.0,1.0,4453.0,233.0,0,2,https://kickbase.b-cdn.net/content/file/938a124759354a928af165b155e6925a.png,17.0,1,11.0,,"[{""hasPlayed"": true, ""points"": 233}]",1,Ridle  Baku,209561.0,209561.0,233597.0,258057.0,1411843.0,670682.0,7.58,1.8636721828211191,1.0,0.0,1.0,1.0,0.0,1.0,9.4739,133.834329
1685,2,Joshua,Kimmich,59870453.0,303.0,1.0,1.0,1.0,5767.0,303.0,0,3,https://kickbase.b-cdn.net/content/file/b41a70e2188a4c72aa165cfc7606c3e9.png,6.0,1,5.0,,"[{""hasPlayed"": true, ""points"": 303}]",1,Joshua Kimmich,4003.0,4003.0,8506.0,13275.0,-5874.0,559689.0,7.58,2.6086956521739126,1.0,0.0,1.0,1.0,0.0,1.0,9.4739,187.336075
4199,7,Aleix,García,39179941.0,98.0,1.0,1.0,1.0,5894.0,98.0,0,3,https://kickbase.b-cdn.net/content/file/3de0ab19c54f4523a5bf21f686259db0.png,24.0,2,2.0,,"[{""hasPlayed"": true, ""points"": 98}]",1,Aleix García,-56513.0,-56513.0,6638.0,16577.0,122628.0,2429299.0,7.4,2.2116504854368935,1.0,0.0,1.0,1.0,0.0,1.0,9.4739,155.051871
13442,15,Hugo,Bolin,11456465.0,32.0,1.0,1.0,1.0,5846.0,32.0,0,3,https://kickbase.b-cdn.net/content/file/7f789e6ac2c84d5b878ec36c44b31dc2.png,38.0,1,2.0,,"[{""hasPlayed"": true, ""points"": 32}]",1,Hugo Bolin,98529.0,98529.0,111044.0,128909.0,818070.0,6172557.0,8.05,1.7648105684657243,1.0,0.0,1.0,1.0,0.0,1.0,9.4739,134.593093
11008,43,Ezechiel,Banzuzi,11245732.0,103.0,1.0,1.0,1.0,5074.0,103.0,0,3,https://kickbase.b-cdn.net/content/file/a9c36464a61049d0b9acd73d6c4e9c96.png,6.0,1,9.0,,"[{""hasPlayed"": true, ""points"": 103}]",1,Ezechiel Banzuzi,191689.0,191689.0,210865.0,248273.0,1859135.0,7613135.0,7.2,1.8636721828211191,1.0,0.0,1.0,1.0,0.0,1.0,9.4739,127.124956
6319,15,Franck,Honorat,9095848.0,75.0,1.0,1.0,0.0,1939.0,75.0,0,3,https://kickbase.b-cdn.net/content/file/ba369ac3889a4ce98a51468fb3f7c14b.png,9.0,1,8.0,,"[{""hasPlayed"": true, ""points"": 75}]",3,Franck Honorat,217645.0,217645.0,225400.0,168229.0,415156.0,149948.0,7.1,1.7648105684657243,1.0,0.0,1.0,1.0,0.0,1.0,9.4739,118.709436
4296,9,Dzenan,Pejcinovic,10929287.0,-6.0,1.0,1.0,1.0,3790.0,-6.0,0,4,https://kickbase.b-cdn.net/content/file/dce6b383ea96472faf6e2059c30593a9.png,17.0,1,,4.0,"[{""hasPlayed"": true, ""points"": -6}]",3,Dzenan Pejcinovic,184353.0,184353.0,209826.0,228561.0,2227748.0,8050225.0,7.85,2.156408094435076,1.0,0.0,1.0,1.0,0.0,1.0,9.4739,160.372318
3304,5,Igor,Matanović,20829723.0,291.0,1.0,1.0,1.0,4481.0,291.0,0,4,https://kickbase.b-cdn.net/content/file/6bb42fe3c2da4e1e9f8ad8dc25f1cc85.png,31.0,1,13.0,,"[{""hasPlayed"": true, ""points"": 291}]",1,Igor Matanović,184401.0,184401.0,203744.0,239631.0,1148539.0,4880222.0,8.18,1.705678495361178,1.0,0.0,1.0,1.0,0.0,1.0,9.4739,132.184117
