team,team_id,season_id,shirt_number,player_name,player_id,position,age,nationalities,contract_until,market_value,market_value_eur,player_url,team_market_value_percentile_threshold_eur,market_value_percentile_within_team
1. FC Köln,3,2026,10,Said El Mala,1168219,Left Winger,20,Germany,30/06/2031,€45.00m,45000000,https://www.transfermarkt.com/said-el-mala/profil/spieler/1168219,8000000.0,100.0
1. FC Köln,3,2026,47,Mikey Moore,1011147,Right Winger,19,England|Wales,30/06/2027,€18.00m,18000000,https://www.transfermarkt.com/mikey-moore/profil/spieler/1011147,8000000.0,96.15
1. FC Köln,3,2026,22,Jahmai Simpson-Pusey,942497,Centre-Back,20,England,30/06/2030,€9.00m,9000000,https://www.transfermarkt.com/jahmai-simpson-pusey/profil/spieler/942497,8000000.0,88.46
1. FC Köln,3,2026,9,Ragnar Ache,416380,Centre-Forward,28,Germany|Ghana,30/06/2029,€9.00m,9000000,https://www.transfermarkt.com/ragnar-ache/profil/spieler/416380,8000000.0,88.46
1. FC Köln,3,2026,27,Thijs Dallinga,538964,Centre-Forward,26,Netherlands,30/06/2027,€9.00m,9000000,https://www.transfermarkt.com/thijs-dallinga/profil/spieler/538964,8000000.0,88.46
1. FC Köln,3,2026,8,Ísak Jóhannesson,579565,Central Midfield,23,Iceland|England,30/06/2030,€8.00m,8000000,https://www.transfermarkt.com/isak-johannesson/profil/spieler/579565,8000000.0,80.77
Bayer Leverkusen,15,2026,30,Ibrahim Maza,905011,Attacking Midfield,20,Algeria|Germany,30/06/2030,€45.00m,45000000,https://www.transfermarkt.com/ibrahim-maza/profil/spieler/905011,24400000.0,98.15
Bayer Leverkusen,15,2026,4,Jarell Quansah,632349,Centre-Back,23,England|Scotland,30/06/2030,€45.00m,45000000,https://www.transfermarkt.com/jarell-quansah/profil/spieler/632349,24400000.0,98.15
Bayer Leverkusen,15,2026,35,Christian Kofane,1364454,Centre-Forward,20,Cameroon,30/06/2029,€40.00m,40000000,https://www.transfermarkt.com/christian-kofane/profil/spieler/1364454,24400000.0,92.59
Bayer Leverkusen,15,2026,12,Edmond Tapsoba,564545,Centre-Back,27,Burkina Faso,30/06/2031,€35.00m,35000000,https://www.transfermarkt.com/edmond-tapsoba/profil/spieler/564545,24400000.0,88.89
Bayer Leverkusen,15,2026,10,Malik Tillman,467437,Attacking Midfield,24,United States|Germany,30/06/2030,€30.00m,30000000,https://www.transfermarkt.com/malik-tillman/profil/spieler/467437,24400000.0,85.19
